content,score,text_clean,text_stopword,text_slang,text_no_stopwords
Tokopedia gagguna,1,tokopedia gagguna,tokopedia gagguna,tokopedia gagguna,tokopedia gagguna
terima kasih selalu banyak promo,4,terima kasih selalu banyak promo,terima kasih promo,terima kasih promo,terima kasih promo
"Tolong banyak bug di aplikasinya, seperti tidak bisa liat ulasan, dan lain""",2,tolong banyak bug di aplikasinya seperti tidak bisa liat ulasan dan lain,tolong bug aplikasinya liat ulasan,tolong bug aplikasinya lihat ulasan,tolong bug aplikasinya lihat ulasan
baru pertama belanja di sini dpt harga 100 perak pas aku coba beneran dong dpt 100 perak.. terimakasih tokped,5,baru pertama belanja di sini dpt harga  perak pas aku coba beneran dong dpt  perak terimakasih tokped,belanja dpt harga perak pas coba beneran dpt perak terimakasih tokped,belanja dapat harga perak pas coba benaran dapat perak terimakasih tokped,belanja harga perak pas coba benaran perak terimakasih tokped
Karena saya tidak dapat pinjam,2,karena saya tidak dapat pinjam,pinjam,pinjam,pinjam
Apk jelek pesanan main batalin aja gak ada kejelasan permasalahan dan gak ada konvensasi penggantian. Dan barang lebih mahal dari apk shop lain. Ingat jangan di donload nyesal kalian gunain apk ini.,1,apk jelek pesanan main batalin aja gak ada kejelasan permasalahan dan gak ada konvensasi penggantian dan barang lebih mahal dari apk shop lain ingat jangan di donload nyesal kalian gunain apk ini,apk jelek pesanan main batalin aja gak kejelasan permasalahan gak konvensasi penggantian barang mahal apk shop donload nyesal gunain apk,apk jelek pesanan main batalin saja enggak kejelasan permasalahan enggak konvensasi penggantian barang mahal apk shop donload nyesal gunain apk,apk jelek pesanan main batalin kejelasan permasalahan konvensasi penggantian barang mahal apk shop donload nyesal gunain apk
bagus,5,bagus,bagus,bagus,bagus
amazing,5,amazing,amazing,amazing,amazing
bagus banget,5,bagus banget,bagus banget,bagus banget,bagus banget
Saya lebih suka barang saya di anter oleh Si Cepat ketimbang JNE... lama JNE REGULER 5 Hari nyampe,2,saya lebih suka barang saya di anter oleh si cepat ketimbang jne lama jne reguler  hari nyampe,suka barang anter si cepat ketimbang jne jne reguler nyampe,suka barang anter sih cepat ketimbang jne jne reguler sampai,suka barang anter sih cepat ketimbang jne jne reguler
hemat,5,hemat,hemat,hemat,hemat
OK BANGET,5,ok banget,ok banget,ok banget,ok banget
"kecewa dengan pelayanan yang cukup lambat dan Tokopedia care yang tidak cukup membantu. Ditambah dengan *d express yang katanya kurir rekomendasi, paket saya waktu dilacak sudah selesai diantar, tapi saya sama sekali belum menerima barang yang saya pesan , padahal pembayaran tidak bisa COD",3,kecewa dengan pelayanan yang cukup lambat dan tokopedia care yang tidak cukup membantu ditambah dengan d express yang katanya kurir rekomendasi paket saya waktu dilacak sudah selesai diantar tapi saya sama sekali belum menerima barang yang saya pesan  padahal pembayaran tidak bisa cod,kecewa pelayanan lambat tokopedia care membantu ditambah d express kurir rekomendasi paket dilacak selesai diantar menerima barang pesan pembayaran cod,kecewa pelayanan lambat tokopedia care membantu ditambah di express kurir rekomendasi paket dilacak selesai diantar menerima barang pesan pembayaran cod,kecewa pelayanan lambat tokopedia care membantu ditambah express kurir rekomendasi paket dilacak selesai diantar menerima barang pesan pembayaran cod
ok,5,ok,ok,ok,ok
Saat co tagihan terjadi transaksi gagal! Sudah hubungi tokopedia care dan mencoba lagi tetap gagal.Semakin lama semakin mengecewakan!,3,saat co tagihan terjadi transaksi gagal sudah hubungi tokopedia care dan mencoba lagi tetap gagalsemakin lama semakin mengecewakan,co tagihan transaksi gagal hubungi tokopedia care mencoba gagalsemakin mengecewakan,cowok tagihan transaksi gagal hubungi tokopedia care mencoba gagalsemakin mengecewakan,cowok tagihan transaksi gagal hubungi tokopedia care mencoba gagalsemakin mengecewakan
Good pelayanan ny,5,good pelayanan ny,good pelayanan ny,good pelayanan nya,good pelayanan nya
Jika mengeluarkan promo gila ok bgt joos.,5,jika mengeluarkan promo gila ok bgt joos,mengeluarkan promo gila ok bgt joos,mengeluarkan promo gila ok banget joos,mengeluarkan promo gila ok banget joos
Minus brutal banyak kendala terus paling ngeselin itu kalo pengiriman barang itu lamaaaa banget gak seperti si orange sama update status pengirimanya gak berubah berubah bikin ga tenang sekian,1,minus brutal banyak kendala terus paling ngeselin itu kalo pengiriman barang itu lamaaaa banget gak seperti si orange sama update status pengirimanya gak berubah berubah bikin ga tenang sekian,minus brutal kendala ngeselin kalo pengiriman barang lamaaaa banget gak si orange update status pengirimanya gak berubah berubah bikin ga tenang sekian,minus brutal kendala mengesalkan kalo pengiriman barang lamaaaa banget enggak sih orange update status pengirimanya enggak berubah berubah bikin enggak tenang sekian,minus brutal kendala mengesalkan kalo pengiriman barang lamaaaa banget sih orange update status pengirimanya berubah berubah bikin tenang sekian
"aplikasi ga guna, pengwmbalian saldo aja smpe 12 hari kaya bangun candi.",1,aplikasi ga guna pengwmbalian saldo aja smpe  hari kaya bangun candi,aplikasi ga pengwmbalian saldo aja smpe kaya bangun candi,aplikasi enggak pengwmbalian saldo saja sampai kayak bangun candi,aplikasi pengwmbalian saldo kayak bangun candi
"Kecewa banget order di tokped. Kendala di pengiriman hanya berhenti di pusat sortir kota penjual sampai melebihi waktu estimasi paket diterima dan parahnya pengembalian dana dipersulit , sampai saat ini dana masih ga tau kemana arahnya. Pasahal nominalnya lumayan. PARAH BANGET!",1,kecewa banget order di tokped kendala di pengiriman hanya berhenti di pusat sortir kota penjual sampai melebihi waktu estimasi paket diterima dan parahnya pengembalian dana dipersulit  sampai saat ini dana masih ga tau kemana arahnya pasahal nominalnya lumayan parah banget,kecewa banget order tokped kendala pengiriman berhenti pusat sortir kota penjual melebihi estimasi paket diterima parahnya pengembalian dana dipersulit dana ga tau kemana arahnya pasahal nominalnya lumayan parah banget,kecewa banget order tokped kendala pengiriman berhenti pusat sortir kota penjual melebihi estimasi paket diterima parahnya pengembalian dana dipersulit dana enggak tau kemana arahnya pasahal nominalnya lumayan parah banget,kecewa banget order tokped kendala pengiriman berhenti pusat sortir kota penjual melebihi estimasi paket diterima parahnya pengembalian dana dipersulit dana tau kemana arahnya pasahal nominalnya lumayan parah banget
Siiiipppp,5,siiiipppp,siiiipppp,siiiipppp,siiiipppp
Okbuanget,3,okbuanget,okbuanget,okbuanget,okbuanget
terbaik emang,5,terbaik emang,terbaik emang,terbaik memang,terbaik
good,5,good,good,good,good
keren,5,keren,keren,keren,keren
"iklan gak ngotak di reeldrum,,",2,iklan gak ngotak di reeldrum,iklan gak ngotak reeldrum,iklan enggak ngotak reeldrum,iklan ngotak reeldrum
Makin di update tampilan nya semakin susah di cari jd sulit dan ribet ...,2,makin di update tampilan nya semakin susah di cari jd sulit dan ribet ,update tampilan nya susah cari jd sulit ribet,update tampilan nya susah cari jadi sulit ribet,update tampilan nya susah cari sulit ribet
app nya lebih berat dari pada shoppe,1,app nya lebih berat dari pada shoppe,app nya berat shoppe,app nya berat shoppe,app nya berat shoppe
Rusak Ini Apk Gak bisa Bikin Pin Udah coba Asalajah Tetep gak Bisa Rusak rusak makin Kecewa.,5,rusak ini apk gak bisa bikin pin udah coba asalajah tetep gak bisa rusak rusak makin kecewa,rusak apk gak bikin pin udah coba asalajah tetep gak rusak rusak kecewa,rusak apk enggak bikin pin sudah coba asalajah tetap enggak rusak rusak kecewa,rusak apk bikin pin coba asalajah rusak rusak kecewa
HEH KALO GA NIAT NGASIH VOUCHER DISKON GAUSAH DIKASIH KALO UJUNG UJUNGNYA TRANSAKSI SAYA DIBATALIN SISTEM BIKIN PHP SAJA LU YA TOPED,1,heh kalo ga niat ngasih voucher diskon gausah dikasih kalo ujung ujungnya transaksi saya dibatalin sistem bikin php saja lu ya toped,heh kalo ga niat ngasih voucher diskon gausah dikasih kalo ujung ujungnya transaksi dibatalin sistem bikin php lu ya toped,heh kalo enggak niat mengasih voucher diskon enggak usah dikasih kalo ujung ujungnya transaksi dibatalin sistem bikin php lu ya toped,heh kalo niat mengasih voucher diskon dikasih kalo ujung ujungnya transaksi dibatalin sistem bikin php lu ya toped
memudahkan,5,memudahkan,memudahkan,memudahkan,memudahkan
ini kok tiap bulan suruh update. ganggu aja orang mau milih milih barang. update juga gitu gitu aja...,3,ini kok tiap bulan suruh update ganggu aja orang mau milih milih barang update juga gitu gitu aja,suruh update ganggu aja orang milih milih barang update gitu gitu aja,suruh update ganggu saja orang memilih memilih barang update begitu begitu saja,suruh update ganggu orang memilih memilih barang update
mantap mantaap,4,mantap mantaap,mantap mantaap,mantap mantap,mantap mantap
Kasih kupon diskon yg bener. Jangan pas beli transaksi batal kupon kepake.,2,kasih kupon diskon yg bener jangan pas beli transaksi batal kupon kepake,kasih kupon diskon yg bener pas beli transaksi batal kupon kepake,kasih kupon diskon yang benar pas beli transaksi batal kupon kepake,kasih kupon diskon pas beli transaksi batal kupon kepake
"saran saya untuk kedepannya tolong bermitra dengan expedisi yang kompeten di bidangnya saran lain hapus expedisi sicepat dari aplikasi, kebanyakan minusnya itu expedisi",5,saran saya untuk kedepannya tolong bermitra dengan expedisi yang kompeten di bidangnya saran lain hapus expedisi sicepat dari aplikasi kebanyakan minusnya itu expedisi,saran kedepannya tolong bermitra expedisi kompeten bidangnya saran hapus expedisi sicepat aplikasi kebanyakan minusnya expedisi,saran kedepannya tolong bermitra expedisi kompeten bidangnya saran hapus expedisi sicepat aplikasi kebanyakan minusnya expedisi,saran kedepannya tolong bermitra expedisi kompeten bidangnya saran hapus expedisi sicepat aplikasi kebanyakan minusnya expedisi
"Halaman komplain error saya ga bisa ajukan komplain, padahal aplikasi lain lancar jaya. Payah banget, makin kesini makin berat, fitur ga guna makin banyak",3,halaman komplain error saya ga bisa ajukan komplain padahal aplikasi lain lancar jaya payah banget makin kesini makin berat fitur ga guna makin banyak,halaman komplain error ga ajukan komplain aplikasi lancar jaya payah banget kesini berat fitur ga,halaman komplain error enggak ajukan komplain aplikasi lancar jaya payah banget kesini berat fitur enggak,halaman komplain error ajukan komplain aplikasi lancar jaya payah banget kesini berat fitur
bagus,5,bagus,bagus,bagus,bagus
"kecewa banget aku baru pertama kali belanja disini, paketnya ga nyampe kerumah ga tau kemana masih stuck di jakarta, belanja yang kedua malah ga dikirim² sama sellernya. Mana mau komplen di chat repsonnya lama banget. parah sihh kecewa berat akuuu🥲",1,kecewa banget aku baru pertama kali belanja disini paketnya ga nyampe kerumah ga tau kemana masih stuck di jakarta belanja yang kedua malah ga dikirim sama sellernya mana mau komplen di chat repsonnya lama banget parah sihh kecewa berat akuuu,kecewa banget kali belanja paketnya ga nyampe kerumah ga tau kemana stuck jakarta belanja ga dikirim sellernya komplen chat repsonnya banget parah sihh kecewa berat akuuu,kecewa banget kali belanja paketnya enggak sampai kerumah enggak tau kemana stuck jakarta belanja enggak dikirim sellernya komplen chat repsonnya banget parah sih kecewa berat aku,kecewa banget kali belanja paketnya kerumah tau kemana stuck jakarta belanja dikirim sellernya komplen chat repsonnya banget parah sih kecewa berat
"Aplikasi mudah, belanja aman, dan amanah.",5,aplikasi mudah belanja aman dan amanah,aplikasi mudah belanja aman amanah,aplikasi mudah belanja aman amanah,aplikasi mudah belanja aman amanah
sayangat sangat tidak suka,1,sayangat sangat tidak suka,sayangat suka,sayangat suka,sayangat suka
"Tokopedia gajelas, gw pesen paket yang biasanya gapernah nyasar, ini segala nyasar, udah gitu di komplain sudah 7hari ga ada perkembangan, duit gw balikin woy sekarang",1,tokopedia gajelas gw pesen paket yang biasanya gapernah nyasar ini segala nyasar udah gitu di komplain sudah hari ga ada perkembangan duit gw balikin woy sekarang,tokopedia gajelas gw pesen paket gapernah nyasar nyasar udah gitu komplain ga perkembangan duit gw balikin woy,tokopedia enggak jelas gue pesan paket enggak pernah nyasar nyasar sudah begitu komplain enggak perkembangan duit gue balikin woy,tokopedia gue pesan paket nyasar nyasar komplain perkembangan duit gue balikin woy
mantap banyakin terus bonusnya,5,mantap banyakin terus bonusnya,mantap banyakin bonusnya,mantap membanyaki bonusnya,mantap membanyaki bonusnya
Siip,5,siip,siip,sip,sip
kurir rekomendasi yang tidak recomended,1,kurir rekomendasi yang tidak recomended,kurir rekomendasi recomended,kurir rekomendasi recomended,kurir rekomendasi recomended
mantap,5,mantap,mantap,mantap,mantap
kurir di tokped lemot parah ..beda di shopee cepet dan ada fitur bonus bila melebihi estimasi,1,kurir di tokped lemot parah beda di shopee cepet dan ada fitur bonus bila melebihi estimasi,kurir tokped lemot parah beda shopee cepet fitur bonus melebihi estimasi,kurir tokped lemot parah beda shopee cepat fitur bonus melebihi estimasi,kurir tokped lemot parah beda shopee cepat fitur bonus melebihi estimasi
"Ini aplikasi Gimana si, mau milih metode pembayaran aja lemotnya kagak karuan giliran buka aplikasi toko Oren langsung sat set lancar jaya, malesin lah belanja disini, buang buang waktu gue dih, kalo ada penilaian Bintang -1000000, dah gue klik itu bintangnya karena emng SEJELEK ITU APLIKASINYA!!!! Kalo di toko Oren ada novel yg gue incer, udah gue beli di toko oren aja ketimbang beli di toko ini",1,ini aplikasi gimana si mau milih metode pembayaran aja lemotnya kagak karuan giliran buka aplikasi toko oren langsung sat set lancar jaya malesin lah belanja disini buang buang waktu gue dih kalo ada penilaian bintang  dah gue klik itu bintangnya karena emng sejelek itu aplikasinya kalo di toko oren ada novel yg gue incer udah gue beli di toko oren aja ketimbang beli di toko ini,aplikasi gimana si milih metode pembayaran aja lemotnya kagak karuan giliran buka aplikasi toko oren langsung sat set lancar jaya malesin belanja buang buang gue dih kalo penilaian bintang dah gue klik bintangnya emng sejelek aplikasinya kalo toko oren novel yg gue incer udah gue beli toko oren aja ketimbang beli toko,aplikasi bagaimana sih memilih metode pembayaran saja lemotnya kagak karuan giliran buka aplikasi toko oren langsung sat set lancar jaya malesin belanja buang buang gue dih kalo penilaian bintang deh gue klik bintangnya memang sejelek aplikasinya kalo toko oren novel yang gue incer sudah gue beli toko oren saja ketimbang beli toko,aplikasi sih memilih metode pembayaran lemotnya kagak karuan giliran buka aplikasi toko oren langsung sat set lancar jaya malesin belanja buang buang gue dih kalo penilaian bintang deh gue klik bintangnya sejelek aplikasinya kalo toko oren novel gue incer gue beli toko oren ketimbang beli toko
Kenapa sih min.... tiap nyari barang selalu ketemunya yg harganya lebih mahal dulu. giliran udah di banyar yg harganya lebih murah nonggol. Dengan merek sama tipe sama .. gimana menurut kalian apa senasip dengan saya!!!?,1,kenapa sih min tiap nyari barang selalu ketemunya yg harganya lebih mahal dulu giliran udah di banyar yg harganya lebih murah nonggol dengan merek sama tipe sama  gimana menurut kalian apa senasip dengan saya,sih min nyari barang ketemunya yg harganya mahal giliran udah banyar yg harganya murah nonggol merek tipe gimana senasip,sih min mencari barang ketemunya yang harganya mahal giliran sudah banyar yang harganya murah nonggol merek tipe bagaimana senasip,sih min mencari barang ketemunya harganya mahal giliran banyar harganya murah nonggol merek tipe senasip
Alhamdulillah toped memenuhi janjinya untuk kembalikan kupon 50% nya. Selama setaun ini saya belanja selalu di toped 90% memenuhi kebutuhan saya. Terima kasih telah mengembalikan kepercayaan saya. Saya ubah penilaian menjadi bintang 5.,5,alhamdulillah toped memenuhi janjinya untuk kembalikan kupon  nya selama setaun ini saya belanja selalu di toped  memenuhi kebutuhan saya terima kasih telah mengembalikan kepercayaan saya saya ubah penilaian menjadi bintang ,alhamdulillah toped memenuhi janjinya kembalikan kupon nya setaun belanja toped memenuhi kebutuhan terima kasih mengembalikan kepercayaan ubah penilaian bintang,alhamdulillah toped memenuhi janjinya kembalikan kupon nya setaun belanja toped memenuhi kebutuhan terima kasih mengembalikan kepercayaan ubah penilaian bintang,alhamdulillah toped memenuhi janjinya kembalikan kupon nya setaun belanja toped memenuhi kebutuhan terima kasih mengembalikan kepercayaan ubah penilaian bintang
"Berikan kami pilihan kurir rekomendasi bukan ditentukan tokopedia karena kami lebih tau mana yang lebih bagus. SICEPAT sangat TIDAK LAYAK, sudah ada masukan tapi tetap tidak ada tanggapan. Bintang 1 sajalah karena keluhan konsumen diabaikan.",1,berikan kami pilihan kurir rekomendasi bukan ditentukan tokopedia karena kami lebih tau mana yang lebih bagus sicepat sangat tidak layak sudah ada masukan tapi tetap tidak ada tanggapan bintang  sajalah karena keluhan konsumen diabaikan,pilihan kurir rekomendasi ditentukan tokopedia tau bagus sicepat layak masukan tanggapan bintang keluhan konsumen diabaikan,pilihan kurir rekomendasi ditentukan tokopedia tau bagus sicepat layak masukan tanggapan bintang keluhan konsumen diabaikan,pilihan kurir rekomendasi ditentukan tokopedia tau bagus sicepat layak masukan tanggapan bintang keluhan konsumen diabaikan
"Kenapa mau cekout dibatalkan sistem terus woy, niat ngasih promo gk ????",1,kenapa mau cekout dibatalkan sistem terus woy niat ngasih promo gk ,cekout dibatalkan sistem woy niat ngasih promo gk,cekout dibatalkan sistem woy niat mengasih promo enggak,cekout dibatalkan sistem woy niat mengasih promo
"Terlanjur bayar tapi pesanan di batalkan dan uang ke saldo tokokpedia, mana penarikan minimal 10k,jadi ga bisa kembali lagi ke dompet ,ke saldo tokokpedia gpp asal bisa tambah buat potongan harga, la ini nggak anjayyy,yang amanah dong buat aplikasi,, ga ikhlas sampai kapanpun",1,terlanjur bayar tapi pesanan di batalkan dan uang ke saldo tokokpedia mana penarikan minimal kjadi ga bisa kembali lagi ke dompet ke saldo tokokpedia gpp asal bisa tambah buat potongan harga la ini nggak anjayyyyang amanah dong buat aplikasi ga ikhlas sampai kapanpun,terlanjur bayar pesanan batalkan uang saldo tokokpedia penarikan minimal kjadi ga dompet saldo tokokpedia gpp potongan harga la nggak anjayyyyang amanah aplikasi ga ikhlas,terlanjur bayar pesanan batalkan uang saldo tokokpedia penarikan minimal kjadi enggak dompet saldo tokokpedia enggak apa-apa potongan harga lah enggak anjayyyyang amanah aplikasi enggak ikhlas,terlanjur bayar pesanan batalkan uang saldo tokokpedia penarikan minimal kjadi dompet saldo tokokpedia apa-apa potongan harga anjayyyyang amanah aplikasi ikhlas
Masyalloh di balikin dong vouchernya.. mksh tokopedia.. aku gnti bintang 5 🥰,5,masyalloh di balikin dong vouchernya mksh tokopedia aku gnti bintang  ,masyalloh balikin vouchernya mksh tokopedia gnti bintang,masyalloh balikin vouchernya terima kasih tokopedia ganti bintang,masyalloh balikin vouchernya terima kasih tokopedia ganti bintang
Baru mulai,5,baru mulai,,,
good,5,good,good,good,good
sangat baik,5,sangat baik,,,
Niat ngasih promo gasih tokpeddddd sy udh bayar loh masa d batalkan dr pihak tokped kecewa Barat sih,1,niat ngasih promo gasih tokpeddddd sy udh bayar loh masa d batalkan dr pihak tokped kecewa barat sih,niat ngasih promo gasih tokpeddddd sy udh bayar loh d batalkan dr tokped kecewa barat sih,niat mengasih promo enggak sih tokpeddddd saya sudah bayar loh di batalkan dari tokped kecewa barat sih,niat mengasih promo sih tokpeddddd bayar loh batalkan tokped kecewa barat sih
bagus,5,bagus,bagus,bagus,bagus
bagus.,5,bagus,bagus,bagus,bagus
"katanya gratis ongkir, tapi masih dibebankan 3rb perak ( kl gratis ya gratis free bayar ! kl masih bayar bilang aja "" ongkir cuma 3rb perak ""gitu dong ngomongnya ...gimana sih dodool ) ❓ blm lagi biaya penanganan 1rb perak, biaya aplikasi 1rb perak, pertanyaan gue "" apa bedanya elo ama tukang parkir ? 15th gue berkutat di satu aplikasi olshop ini, akhirnya membuka mata gue u/ unduh aplikasi olshop lain ( shoopee), sebab hidup ini memang butuh kompetitor untuk maju ,... sorry ya gue kcwa🤔🙄🤕",1,katanya gratis ongkir tapi masih dibebankan rb perak  kl gratis ya gratis free bayar  kl masih bayar bilang aja  ongkir cuma rb perak gitu dong ngomongnya gimana sih dodool   blm lagi biaya penanganan rb perak biaya aplikasi rb perak pertanyaan gue  apa bedanya elo ama tukang parkir  th gue berkutat di satu aplikasi olshop ini akhirnya membuka mata gue u unduh aplikasi olshop lain  shoopee sebab hidup ini memang butuh kompetitor untuk maju  sorry ya gue kcwa,gratis ongkir dibebankan rb perak kl gratis ya gratis free bayar kl bayar bilang aja ongkir rb perak gitu ngomongnya gimana sih dodool blm biaya penanganan rb perak biaya aplikasi rb perak gue bedanya elo ama tukang parkir th gue berkutat aplikasi olshop membuka mata gue u unduh aplikasi olshop shoopee hidup butuh kompetitor maju sorry ya gue kcwa,gratis ongkir dibebankan ribu perak kalo gratis ya gratis free bayar kalo bayar bilang saja ongkir ribu perak begitu mengomongnya bagaimana sih dodool belum biaya penanganan ribu perak biaya aplikasi ribu perak gue bedanya lo sama tukang parkir tahu gue berkutat aplikasi olshop membuka mata gue lu unduh aplikasi olshop shoopee hidup butuh kompetitor maju sorry ya gue kecewa,gratis ongkir dibebankan ribu perak kalo gratis ya gratis free bayar kalo bayar bilang ongkir ribu perak mengomongnya sih dodool biaya penanganan ribu perak biaya aplikasi ribu perak gue bedanya lo tukang parkir gue berkutat aplikasi olshop membuka mata gue lu unduh aplikasi olshop shoopee hidup butuh kompetitor maju sorry ya gue kecewa
Kalo barang sampe sesuai diskon bintang 5 deh,3,kalo barang sampe sesuai diskon bintang  deh,kalo barang sampe sesuai diskon bintang deh,kalo barang sampai sesuai diskon bintang deh,kalo barang sesuai diskon bintang deh
top,5,top,top,top,top
Nanti lagi di download terima kasih,5,nanti lagi di download terima kasih,download terima kasih,download terima kasih,download terima kasih
"Jualan d sini, Aplikasi potongan semakin mahal, gak worth it lagi.. promo gratis, gratis ongkir dan lain2 d tanggung penjual.. dlu potongan cuma 2% skrng sampe 10-15% untung pedagang kecil cuma dikeruk",1,jualan d sini aplikasi potongan semakin mahal gak worth it lagi promo gratis gratis ongkir dan lain d tanggung penjual dlu potongan cuma  skrng sampe  untung pedagang kecil cuma dikeruk,jualan d aplikasi potongan mahal gak worth it promo gratis gratis ongkir d tanggung penjual dlu potongan skrng sampe untung pedagang dikeruk,jualan di aplikasi potongan mahal enggak worth itu promo gratis gratis ongkir di tanggung penjual dulu potongan sekarang sampai untung pedagang dikeruk,jualan aplikasi potongan mahal worth promo gratis gratis ongkir tanggung penjual potongan untung pedagang dikeruk
josss,5,josss,josss,josss,josss
"Mengapa sekarang sering telat ya? Sy sudah bbrapa kali, padahal sy setia sama tokped, tokped care yg aneh",2,mengapa sekarang sering telat ya sy sudah bbrapa kali padahal sy setia sama tokped tokped care yg aneh,telat ya sy bbrapa kali sy setia tokped tokped care yg aneh,telat ya saya bbrapa kali saya setia tokped tokped care yang aneh,telat ya bbrapa kali setia tokped tokped care aneh
Bagus,5,bagus,bagus,bagus,bagus
mantap,5,mantap,mantap,mantap,mantap
nice apk,5,nice apk,nice apk,nice apk,nice apk
ok,5,ok,ok,ok,ok
Baik,5,baik,,,
"Hei Tokopedia, perhatikan customer anda. Pesanan saya datang ga sesuai sama yang saya pesan. Dana yang bermasalah harusnya dikembalikan ke saya, bukan malah saya disuruh kirim video unboxing. Mana saya tau pesanan yang dikirim ga sesuai sama yang saya pesan. Biasanya kalau pesan di Tokopedia ga bermasalah maka'nya saya langsung buka paketnya. Paham ga. Saya sebagai customer merasa dirugikan disini 😡😡😡😡😡",1,hei tokopedia perhatikan customer anda pesanan saya datang ga sesuai sama yang saya pesan dana yang bermasalah harusnya dikembalikan ke saya bukan malah saya disuruh kirim video unboxing mana saya tau pesanan yang dikirim ga sesuai sama yang saya pesan biasanya kalau pesan di tokopedia ga bermasalah makanya saya langsung buka paketnya paham ga saya sebagai customer merasa dirugikan disini ,hei tokopedia perhatikan customer pesanan ga sesuai pesan dana bermasalah dikembalikan disuruh kirim video unboxing tau pesanan dikirim ga sesuai pesan pesan tokopedia ga bermasalah langsung buka paketnya paham ga customer dirugikan,hei tokopedia perhatikan customer pesanan enggak sesuai pesan dana bermasalah dikembalikan disuruh kirim video unboxing tau pesanan dikirim enggak sesuai pesan pesan tokopedia enggak bermasalah langsung buka paketnya paham enggak customer dirugikan,hei tokopedia perhatikan customer pesanan sesuai pesan dana bermasalah dikembalikan disuruh kirim video unboxing tau pesanan dikirim sesuai pesan pesan tokopedia bermasalah langsung buka paketnya paham customer dirugikan
good,5,good,good,good,good
Oke,5,oke,oke,oke,oke
"Udah beberapa kali beli di tokped, pengiriman lamaaaa bgttt, ajuin komplain prosesnya juga lamaaa bgttt sampe seminggu, masa mau order proses total smpe 2 minggu, diskon gede tp pengiriman lama, akhirnya batal, diskon hangus, parahhh",1,udah beberapa kali beli di tokped pengiriman lamaaaa bgttt ajuin komplain prosesnya juga lamaaa bgttt sampe seminggu masa mau order proses total smpe  minggu diskon gede tp pengiriman lama akhirnya batal diskon hangus parahhh,udah kali beli tokped pengiriman lamaaaa bgttt ajuin komplain prosesnya lamaaa bgttt sampe seminggu order proses total smpe minggu diskon gede tp pengiriman batal diskon hangus parahhh,sudah kali beli tokped pengiriman lamaaaa banget ajuin komplain prosesnya lamaaa banget sampai seminggu order proses total sampai minggu diskon gede tapi pengiriman batal diskon hangus parahhh,kali beli tokped pengiriman lamaaaa banget ajuin komplain prosesnya lamaaa banget seminggu order proses total minggu diskon gede pengiriman batal diskon hangus parahhh
mantab,5,mantab,mantab,mantab,mantab
Buat tokopedia..tolong untuk ekpedisi jangan menggunakan JNE ekspress lagi kalau bisa kerja sama dengan JNT/buat ekspedisi sendiri kayak si oren..kami kecewa karena pengiriman kebutuhan anak cuma beda kecamatan doang sampainya 5hari hingga saya beli sendiri di toko si oren..tolong lah buat tim tokopedia..,1,buat tokopediatolong untuk ekpedisi jangan menggunakan jne ekspress lagi kalau bisa kerja sama dengan jntbuat ekspedisi sendiri kayak si orenkami kecewa karena pengiriman kebutuhan anak cuma beda kecamatan doang sampainya hari hingga saya beli sendiri di toko si orentolong lah buat tim tokopedia,tokopediatolong ekpedisi jne ekspress kerja jntbuat ekspedisi kayak si orenkami kecewa pengiriman kebutuhan anak beda kecamatan doang sampainya beli toko si orentolong tim tokopedia,tokopediatolong ekpedisi jne ekspress kerja jntbuat ekspedisi kayak sih orenkami kecewa pengiriman kebutuhan anak beda kecamatan doang sampainya beli toko sih orentolong tim tokopedia,tokopediatolong ekpedisi jne ekspress kerja jntbuat ekspedisi kayak sih orenkami kecewa pengiriman kebutuhan anak beda kecamatan doang sampainya beli toko sih orentolong tim tokopedia
. 0,5, ,,,
baik,5,baik,,,
ok,5,ok,ok,ok,ok
"CUMAN SARAN AJA untuk toko dan proses dari pengemasan,pengiriman tolong lebih diperketati karna karna sebetulnya saya suka dengan tokopedia cuman kadang saya jengkel juga di prosesnya aja 🥲",5,cuman saran aja untuk toko dan proses dari pengemasanpengiriman tolong lebih diperketati karna karna sebetulnya saya suka dengan tokopedia cuman kadang saya jengkel juga di prosesnya aja ,cuman saran aja toko proses pengemasanpengiriman tolong diperketati karna karna suka tokopedia cuman kadang jengkel prosesnya aja,cuman saran saja toko proses pengemasanpengiriman tolong diperketati karena karena suka tokopedia cuman kadang jengkel prosesnya saja,cuman saran toko proses pengemasanpengiriman tolong diperketati suka tokopedia cuman kadang jengkel prosesnya
sangat membantu,5,sangat membantu,membantu,membantu,membantu
Ongkirnya gak ngotak Harga case hp aja sama ongkir jadi 16ribu Di offline aja 10ribuan,1,ongkirnya gak ngotak harga case hp aja sama ongkir jadi ribu di offline aja ribuan,ongkirnya gak ngotak harga case hp aja ongkir ribu offline aja ribuan,ongkirnya enggak ngotak harga case hp saja ongkir ribu offline saja ribuan,ongkirnya ngotak harga case hp ongkir ribu offline ribuan
"Please hapus jne yang tujuan ke malang atau kota lain yang jne nya bermasalah , kiriman dari sidoarjo ke malang sampai 2 minggu",1,please hapus jne yang tujuan ke malang atau kota lain yang jne nya bermasalah  kiriman dari sidoarjo ke malang sampai  minggu,please hapus jne tujuan malang kota jne nya bermasalah kiriman sidoarjo malang minggu,please hapus jne tujuan malang kota jne nya bermasalah kiriman sidoarjo malang minggu,please hapus jne tujuan malang kota jne nya bermasalah kiriman sidoarjo malang minggu
